"","종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"268","000500","가온전선",16340,-270,-1.63,1285,12.72,NA,NA,58877,0.28,420,2.57
"269","399720","가온칩스",28300,2000,7.6,677,41.8,928,30.48,2319,12.2,0,0
"270","036620","감성코퍼레이션",2025,-60,-2.88,4,506.25,NA,NA,373,5.43,0,0
"271","000860","강남제비스코",21800,-150,-0.68,6948,3.14,NA,NA,90881,0.24,500,2.29
"272","217730","강스템바이오텍",3070,-15,-0.49,NA,NA,NA,NA,1791,1.71,0,0
"273","035250","강원랜드",20550,-400,-1.91,NA,NA,1481,13.88,16044,1.28,0,0
"274","114190","강원에너지",9790,0,0,287,34.11,NA,NA,1095,8.94,0,0
"275","094480","갤럭시아머니트리",6540,-290,-4.25,NA,NA,NA,NA,2784,2.35,45,0.69
"276","011420","갤럭시아에스엠",3015,-165,-5.19,134,22.5,NA,NA,1200,2.51,0,0
"277","039240","경남스틸",3225,-25,-0.77,245,13.16,NA,NA,3708,0.87,100,3.1
"278","053950","경남제약",2045,-65,-3.08,NA,NA,NA,NA,3199,0.64,0,0
"279","002100","경농",11010,-100,-0.9,890,12.37,NA,NA,11888,0.93,350,3.18
"280","009450","경동나비엔",37800,-450,-1.18,5898,6.41,NA,NA,31164,1.21,450,1.19
"281","267290","경동도시가스",23800,-600,-2.46,3756,6.34,NA,NA,63687,0.37,875,3.68
